epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.2176,1.21644,0.93889,1,0.32536,0.0706667,0.00325926,0.00325926
2,27.7427,0.31118,0.97222,1,0.09684,0.0406014,0.00652733,0.00652733
3,39.4259,0.18106,0.98333,1,0.07411,0.0104701,0.00972939,0.00972939
4,51.3655,0.11775,0.77778,0.96389,1.0481,0.009703,0.009703,0.009703
5,64.4927,0.13664,0.98889,1,0.03015,0.009604,0.009604,0.009604
6,76.1716,0.0876,0.99444,1,0.02335,0.009505,0.009505,0.009505
7,88.4492,0.10747,0.93611,1,0.21398,0.009406,0.009406,0.009406
8,102.217,0.11361,0.99722,1,0.01011,0.009307,0.009307,0.009307
9,114.685,0.08988,0.99444,1,0.02325,0.009208,0.009208,0.009208
10,126.62,0.0873,0.99444,1,0.02329,0.009109,0.009109,0.009109
11,139.977,0.07534,0.99444,1,0.02009,0.00901,0.00901,0.00901
12,153.213,0.06801,0.99722,1,0.02159,0.008911,0.008911,0.008911
13,165.017,0.03901,0.97778,1,0.05673,0.008812,0.008812,0.008812
14,178.037,0.05826,0.97778,1,0.08017,0.008713,0.008713,0.008713
15,193.85,0.0593,0.95556,1,0.13088,0.008614,0.008614,0.008614
16,205.714,0.08862,0.74444,1,0.79468,0.008515,0.008515,0.008515
17,217.952,0.069,1,1,0.01664,0.008416,0.008416,0.008416
18,232.525,0.05251,0.99722,1,0.00819,0.008317,0.008317,0.008317
19,244.659,0.09045,0.99167,1,0.02256,0.008218,0.008218,0.008218
20,256.449,0.05775,0.97778,1,0.06726,0.008119,0.008119,0.008119
21,268.694,0.03368,0.99722,1,0.00933,0.00802,0.00802,0.00802
22,281.826,0.0602,0.98333,1,0.03548,0.007921,0.007921,0.007921
23,294.235,0.05828,0.96944,1,0.06635,0.007822,0.007822,0.007822
24,306.443,0.02877,0.98889,1,0.04086,0.007723,0.007723,0.007723
25,318.302,0.04017,0.99444,1,0.0219,0.007624,0.007624,0.007624
26,333.294,0.0306,1,1,0.00609,0.007525,0.007525,0.007525
27,345.159,0.04901,0.99722,1,0.00478,0.007426,0.007426,0.007426
